HomMe ITEM NUMBER,MAIN PICTURE,OTHER PICTURES,COLORS,MATERIAL,PRODUCT NAME,Descreption,Size,Cost,price shekel,price -10%,Price
BR1,BR1,BR1A,,מלמין/MDF,BEDROOM ADULTS - BR1,סט מלא לחדר שינה,,2460,4029,,4029
BR2,BR2,BR2A,,מלמין/MDF,BEDROOM ADULTS - BR2,סט מלא לחדר שינה,,2480,4062,,4062
BR3,BR3,BR3A,,מלמין/MDF,BEDROOM ADULTS - BR3,סט מלא לחדר שינה,,2050,3358,,3358
BR4,BR4,BR4A,,מלמין/MDF,BEDROOM ADULTS - BR4,סט מלא לחדר שינה,,2650,4341,,4341
BR5,BR5,BR5A,,מלמין/MDF,BEDROOM ADULTS - BR5,סט מלא לחדר שינה,,2150,3522,,3522
BR6,BR6,BR6A,,מלמין/MDF,BEDROOM ADULTS - BR6,סט מלא לחדר שינה,,2160,3538,,3538
BR7,BR7,BR7A,,מלמין/MDF,BEDROOM ADULTS - BR7,סט מלא לחדר שינה,,2160,3538,,3538
BR8,BR8,BR8A,,מלמין/MDF,BEDROOM ADULTS - BR8,סט מלא לחדר שינה,,2040,3342,,3342
BR9,BR9,BR9A,,מלמין/MDF,BEDROOM ADULTS - BR9,סט מלא לחדר שינה,,2540,4161,,4161
BR10,BR10,BR10A,,מלמין/MDF,BEDROOM ADULTS - BR10,סט מלא לחדר שינה,,2160,3538,,3538
BR11,BR11,BR11A,,מלמין/MDF,BEDROOM ADULTS - BR11,סט מלא לחדר שינה,,2380,3898,,3898
BR12,BR12,BR12A,,מלמין/MDF,BEDROOM ADULTS - BR12,סט מלא לחדר שינה,,1890,3096,,3096
BR13,BR13,BR13A,,מלמין/MDF,BEDROOM ADULTS - BR13,סט מלא לחדר שינה,,2480,4062,,4062
BR14,BR14,BR14A,,מלמין/MDF,BEDROOM ADULTS - BR14,סט מלא לחדר שינה,,2480,4062,,4062
BR15,BR15,BR15A,,מלמין/MDF,BEDROOM ADULTS - BR15,סט מלא לחדר שינה,,2150,3522,,3522
BR16,BR16,BR16A,,מלמין/MDF,BEDROOM ADULTS - BR16,סט מלא לחדר שינה,,1890,3096,,3096
BR17,BR17,BR17A,,מלמין/MDF,BEDROOM ADULTS - BR17,סט מלא לחדר שינה,,2150,3522,,3522
BR18,BR18,BR18A,,מלמין/MDF,BEDROOM ADULTS - BR18,סט מלא לחדר שינה,,2150,3522,,3522
BR19,BR19,BR19A,,מלמין/MDF,BEDROOM ADULTS - BR19,סט מלא לחדר שינה,,2050,3358,,3358
BR20,BR20,BR20A,,מלמין/MDF,BEDROOM ADULTS - BR20,סט מלא לחדר שינה,,1730,2834,,2834
BR21,BR21,BR21A,,מלמין/MDF,BEDROOM ADULTS - BR21,סט מלא לחדר שינה,,2050,3358,,3358
BR22,BR22,BR22A,,מלמין/MDF,BEDROOM ADULTS - BR22,סט מלא לחדר שינה,,3010,4930,,4930
BR23,BR23,BR23A,,מלמין/MDF,BEDROOM ADULTS - BR23,סט מלא לחדר שינה,,2510,4111,,4111
BR24,BR24,BR24A,,מלמין/MDF,BEDROOM ADULTS - BR24,סט מלא לחדר שינה,,2750,4505,,4505
BR25,BR25,BR25A,,מלמין/MDF,BEDROOM ADULTS - BR25,סט מלא לחדר שינה,,1930,3161,,3161
BR26,BR26,BR26A,,מלמין/MDF,BEDROOM ADULTS - BR26,סט מלא לחדר שינה,,1840,3014,,3014
BR27,BR27,BR27A,,מלמין/MDF,BEDROOM ADULTS - BR27,סט מלא לחדר שינה,,1940,3178,,3178
BR28,BR28,BR28A,,מלמין/MDF,BEDROOM ADULTS - BR28,סט מלא לחדר שינה,,1820,2981,,2981
BR29,BR29,BR29A,,מלמין/MDF,BEDROOM ADULTS - BR29,סט מלא לחדר שינה,,1820,2981,,2981
BR30,BR30,BR30A,,מלמין/MDF,BEDROOM ADULTS - BR30,סט מלא לחדר שינה,,2120,3473,,3473
BR31,BR31,BR31A,,מלמין/MDF,BEDROOM ADULTS - BR31,סט מלא לחדר שינה,,1730,2834,,2834
BR32,BR32,BR32A,,מלמין/MDF,BEDROOM ADULTS - BR32,סט מלא לחדר שינה,,1570,2572,,2572
BR33,BR33,BR33A,,מלמין/MDF,BEDROOM ADULTS - BR33,סט מלא לחדר שינה,,1240,2031,,2031
BR34,BR34,BR34A,,מלמין/MDF,BEDROOM ADULTS - BR34,סט מלא לחדר שינה,,1130,1851,,1851
BR35,BR35,BR35A,,מלמין/MDF,BEDROOM ADULTS - BR35,סט מלא לחדר שינה,,2090,3423,,3423
BR36,BR36,BR36A,,מלמין/MDF,BEDROOM ADULTS - BR36,סט מלא לחדר שינה,,2690,4406,,4406
BR37,BR37,BR37A,,מלמין/MDF,BEDROOM ADULTS - BR37,סט מלא לחדר שינה,,2090,3423,,3423
BR38,BR38,BR38A,,מלמין/MDF,BEDROOM ADULTS - BR38,סט מלא לחדר שינה,,2150,3522,,3522
BR39,BR39,BR39A,,מלמין/MDF,BEDROOM ADULTS - BR39,סט מלא לחדר שינה,,1815,2973,,2973
BR40,BR40,BR40A,,מלמין/MDF,BEDROOM ADULTS - BR40,סט מלא לחדר שינה,,2150,3522,,3522
BR41,BR41,BR41A,,מלמין/MDF,BEDROOM ADULTS - BR41,סט מלא לחדר שינה,,2000,3276,,3276
BR42,BR42,BR42A,,מלמין/MDF,BEDROOM ADULTS - BR42,סט מלא לחדר שינה,,2150,3522,,3522
BR43,BR43,BR43A,,מלמין/MDF,BEDROOM ADULTS - BR43,סט מלא לחדר שינה,,2690,4406,,4406
BR44,BR44,BR44A,,מלמין/MDF,BEDROOM ADULTS - BR44,סט מלא לחדר שינה,,1510,2473,,2473
BR45,BR45,BR45A,,מלמין/MDF,BEDROOM ADULTS - BR45,סט מלא לחדר שינה,,2150,3522,,3522
BR46,BR46,BR46A,,מלמין/MDF,BEDROOM ADULTS - BR46,סט מלא לחדר שינה,,1955,3202,,3202
BR47,BR47,BR47A,,מלמין/MDF,BEDROOM ADULTS - BR47,סט מלא לחדר שינה,,2480,4062,,4062
BR48,BR48,BR48A,,מלמין/MDF,BEDROOM ADULTS - BR48,סט מלא לחדר שינה,,2150,3522,,3522
BR49,BR49,BR49A,,מלמין/MDF,BEDROOM ADULTS - BR49,סט מלא לחדר שינה,,2215,3628,,3628
BR50,BR50,BR50A,,מלמין/MDF,BEDROOM ADULTS - BR50,סט מלא לחדר שינה,,1815,2973,,2973
BR51,BR51,BR51A,,מלמין/MDF,BEDROOM ADULTS - BR51,סט מלא לחדר שינה,,1910,3129,,3129
BR52,BR52,BR52A,,מלמין/MDF,BEDROOM ADULTS - BR52,סט מלא לחדר שינה,,1450,2375,,2375
BR53,BR53,BR53A,,מלמין/MDF,BEDROOM ADULTS - BR53,סט מלא לחדר שינה,,1300,2129,,2129
BR54,BR54,BR54A,,מלמין/MDF,BEDROOM ADULTS - BR54,סט מלא לחדר שינה,,1720,2817,,2817
BR55,BR55,BR55A,,מלמין/MDF,BEDROOM ADULTS - BR55,סט מלא לחדר שינה,,2050,3358,,3358